
1.8.1t	{Ἀρχιμήδης Δοσιθέῳ χαίρειν} 
1.10.23	  Λαμβάνω δὲ ταῦτα· 
1.10.24	  αʹ. Τῶν τὰ αὐτὰ πέρατα ἐχουσῶν γραμμῶν ἐλαχίστην 
1.10.25	εἶναι τὴν εὐθεῖαν. 
1.10.26	  βʹ. Τῶν δὲ ἄλλων γραμμῶν, ἐὰν ἐν ἐπιπέδῳ οὖσαι 
1.10.27	τὰ αὐτὰ πέρατα ἔχωσιν, ἀνίσους εἶναι τὰς τοιαύτας,  
1.11.1	ἐπειδὰν ὦσιν ἀμφότεραι ἐπὶ τὰ αὐτὰ κοῖλαι, καὶ ἤτοι 
1.11.2	ὅλη περιλαμβάνηται ἡ ἑτέρα αὐτῶν ὑπὸ τῆς ἑτέρας καὶ 
1.11.3	τῆς εὐθείας τῆς τὰ αὐτὰ πέρατα ἐχούσης αὐτῇ, ἢ τινὰ 
1.11.4	μὲν περιλαμβάνηται, τινὰ δὲ κοινὰ ἔχῃ, καὶ ἐλάσσονα 
1.11.5	εἶναι τὴν περιλαμβανομένην. 
1.11.6	  γʹ. Ὁμοίως δὲ καὶ τῶν ἐπιφανειῶν τῶν τὰ αὐτὰ πέρατα 
1.11.7	ἐχουσῶν, ἐὰν ἐν ἐπιπέδῳ τὰ πέρατα ἔχωσιν, ἐλάσσονα 
1.11.8	εἶναι τὴν ἐπίπεδον. 
1.11.9	  δʹ. Τῶν δὲ ἄλλων ἐπιφανειῶν καὶ τὰ αὐτὰ πέρατα 
1.11.10	ἐχουσῶν, ἐὰν ἐν ἐπιπέδῳ τὰ πέρατα ᾖ, ἀνίσους εἶναι τὰς 
1.11.11	τοιαύτας, ἐπειδὰν ὦσιν ἀμφότεραι ἐπὶ τὰ αὐτὰ κοῖλαι, 
1.11.12	καὶ ἤτοι ὅλη περιλαμβάνηται ὑπὸ τῆς ἑτέρας ἡ ἑτέρα 
1.11.13	ἐπιφάνεια καὶ τῆς ἐπιπέδου τῆς τὰ αὐτὰ πέρατα ἐχούσης 
1.11.14	αὐτῇ, ἢ τινὰ μὲν περιλαμβάνηται, τινὰ δὲ κοινὰ ἔχῃ, 
1.11.15	καὶ ἐλάσσονα εἶναι τὴν περιλαμβανομένην. 
1.11.16	  εʹ. Ἔτι δὲ τῶν ἀνίσων γραμμῶν καὶ τῶν ἀνίσων ἐπι-
1.11.17	φανειῶν καὶ τῶν ἀνίσων στερεῶν τὸ μεῖζον τοῦ ἐλάσσονος 
1.11.18	ὑπερέχειν τοιούτῳ, ὃ συντιθέμενον αὐτὸ ἑαυτῷ δυνατόν 
1.11.19	ἐστιν ὑπερέχειν παντὸς τοῦ προτεθέντος τῶν πρὸς ἄλληλα 
1.11.20	λεγομένων. 
1.11.21	  Τούτων δὲ ὑποκειμένων, ἐὰν εἰς κύκλον πολύγωνον 
1.11.22	ἐγγραφῇ, φανερὸν ὅτι ἡ περίμετρος τοῦ ἐγγραφέντος 
1.11.23	πολυγώνου ἐλάσσων ἐστὶν τῆς τοῦ κύκλου περιφερείας· 
1.11.24	ἑκάστη γὰρ τῶν τοῦ πολυγώνου πλευρῶν ἐλάσσων ἐστὶ 
1.11.25	τῆς τοῦ κύκλου περιφερείας τῆς ὑπὸ τῆς αὐτῆς ἀπο-
1.11.26	τεμνομένης.  
1.12.1	    αʹ. 
1.12.2	  Ἐὰν περὶ κύκλον πολύγωνον περιγραφῇ, ἡ τοῦ περι-
1.12.3	γραφέντος πολυγώνου περίμετρος μείζων ἐστὶν τῆς 
1.12.4	περιμέτρου τοῦ κύκλου. 
1.12.5	  Περὶ γὰρ κύκλον πολύγωνον περιγεγράφθω τὸ ὑπο-
1.12.6	κείμενον. Λέγω ὅτι ἡ περίμετρος τοῦ πολυγώνου μείζων 
1.12.7	ἐστὶν τῆς περιμέτρου τοῦ κύκλου.  
1.12.8	  Ἐπεὶ γὰρ συναμφότερος ἡ ΒΑΛ μείζων ἐστὶ τῆς ΒΛ 
1.12.9	περιφερείας διὰ τὸ τὰ αὐτὰ πέρατα ἔχουσαν περιλαμβάνειν 
1.12.10	τὴν περιφέρειαν, ὁμοίως δὲ καὶ συναμφότερος μὲν ἡ ΔΓ, 
1.12.11	ΓΒ τῆς ΔΒ, συναμφότερος δὲ ἡ ΛΚ, ΚΘ τῆς ΛΘ, συναμ-
1.12.12	φότερος δὲ ἡ ΖΗΘ τῆς ΖΘ, ἔτι δὲ συναμφότερος ἡ ΔΕ, 
1.12.13	ΕΖ τῆς ΔΖ, ὅλη ἄρα ἡ περίμετρος τοῦ πολυγώνου μείζων 
1.12.14	ἐστὶ τῆς περιφερείας τοῦ κύκλου. 
1.12.15	    βʹ. 
1.12.16	  Δύο μεγεθῶν ἀνίσων δοθέντων δυνατόν ἐστιν εὑρεῖν 
1.12.17	δύο εὐθείας ἀνίσους, ὥστε τὴν μείζονα εὐθεῖαν πρὸς τὴν  
1.13.1	ἐλάσσονα λόγον ἔχειν ἐλάσσονα ἢ τὸ μεῖζον μέγεθος 
1.13.2	πρὸς τὸ ἔλασσον. 
1.13.3	  Ἔστω δύο μεγέθη ἄνισα τὰ ΑΒ, Δ, καὶ ἔστω μεῖζον 
1.13.4	τὸ ΑΒ. Λέγω ὅτι δυνατόν ἐστι δύο εὐθείας ἀνίσους εὑρεῖν 
1.13.5	τὸ εἰρημένον ἐπίταγμα ποιούσας.  
1.13.6	  Κείσθω διὰ τὸ βʹ τοῦ αʹ τῶν Εὐκλείδου τῷ Δ ἴσον τὸ 
1.13.7	ΒΓ, καὶ κείσθω τις εὐθεῖα γραμμὴ ἡ ΖΗ· τὸ δὴ ΓΑ ἑαυτῷ 
1.13.8	ἐπισυντιθέμενον ὑπερέξει τοῦ Δ. Πεπολλαπλασιάσθω οὖν, 
1.13.9	καὶ ἔστω τὸ ΑΘ, καὶ ὁσαπλάσιόν ἐστι τὸ ΑΘ τοῦ ΑΓ, 
1.13.10	τοσαυταπλάσιος ἔστω ἡ ΖΗ τῆς ΗΕ· ἔστιν ἄρα, ὡς τὸ 
1.13.11	ΘΑ πρὸς ΑΓ, οὕτως ἡ ΖΗ πρὸς ΗΕ· καὶ ἀνάπαλίν ἐστιν, 
1.13.12	ὡς ἡ ΕΗ πρὸς ΗΖ, οὕτως τὸ ΑΓ πρὸς ΑΘ. Καὶ ἐπεὶ μεῖζόν 
1.13.13	ἐστιν τὸ ΑΘ τοῦ Δ, τουτέστι τοῦ ΓΒ, τὸ ἄρα ΓΑ πρὸς τὸ 
1.13.14	ΑΘ λόγον ἐλάσσονα ἔχει ἤπερ τὸ ΓΑ πρὸς ΓΒ. Ἀλλ' ὡς 
1.13.15	τὸ ΓΑ πρὸς ΑΘ, οὕτως ἡ ΕΗ πρὸς ΗΖ· ἡ ΕΗ ἄρα πρὸς 
1.13.16	ΗΖ ἐλάσσονα λόγον ἔχει ἤπερ τὸ ΓΑ πρὸς ΓΒ· καὶ 
1.13.17	συνθέντι ἡ ΕΖ [ἄρα] πρὸς ΖΗ ἐλάσσονα λόγον ἔχει ἤπερ 
1.13.18	τὸ ΑΒ πρὸς ΒΓ [διὰ λῆμμα]. Ἴσον δὲ τὸ ΒΓ τῷ Δ· ἡ 
1.13.19	ΕΖ ἄρα πρὸς ΖΗ ἐλάσσονα λόγον ἔχει ἤπερ τὸ ΑΒ πρὸς 
1.13.20	τὸ Δ. 
1.13.21	  Εὑρημέναι εἰσὶν ἄρα δύο εὐθεῖαι ἄνισοι ποιοῦσαι τὸ  
1.14.1	εἰρημένον ἐπίταγμα [τουτέστιν τὴν μείζονα πρὸς τὴν 
1.14.2	ἐλάσσονα λόγον ἔχειν ἐλάσσονα ἢ τὸ μεῖζον μέγεθος 
1.14.3	πρὸς τὸ ἔλασσον]. 
1.14.4	    γʹ. 
1.14.5	  Δύο μεγεθῶν ἀνίσων δοθέντων καὶ κύκλου δυνατόν 
1.14.6	ἐστιν εἰς τὸν κύκλον πολύγωνον ἐγγράψαι καὶ ἄλλο 
1.14.7	περιγράψαι, ὅπως ἡ τοῦ περιγραφομένου πολυγώνου 
1.14.8	πλευρὰ πρὸς τὴν τοῦ ἐγγραφομένου πολυγώνου πλευρὰν 
1.14.9	ἐλάσσονα λόγον ἔχῃ ἢ τὸ μεῖζον μέγεθος πρὸς τὸ ἔλαττον. 
1.14.10	  Ἔστω τὰ δοθέντα δύο μεγέθη τὰ Α, Β, ὁ δὲ δοθεὶς 
1.14.11	κύκλος ὁ ὑποκείμενος. Λέγω οὖν ὅτι δυνατόν ἐστι ποιεῖν 
1.14.12	τὸ ἐπίταγμα.  
1.14.13	  Εὑρήσθωσαν γὰρ δύο εὐθεῖαι αἱ Θ, ΚΛ, ὧν μείζων 
1.14.14	ἔστω ἡ Θ, ὥστε τὴν Θ πρὸς τὴν ΚΛ ἐλάσσονα λόγον  
1.15.1	ἔχειν ἢ τὸ μεῖζον μέγεθος πρὸς τὸ ἔλαττον, καὶ ἤχθω 
1.15.2	ἀπὸ τοῦ Λ τῇ ΛΚ πρὸς ὀρθὰς ἡ ΛΜ, καὶ ἀπὸ τοῦ Κ τῇ 
1.15.3	Θ ἴση κατήχθω ἡ ΚΜ [δυνατὸν γὰρ τοῦτο], καὶ ἤχθωσαν 
1.15.4	τοῦ κύκλου δύο διάμετροι πρὸς ὀρθὰς ἀλλήλαις αἱ ΓΕ, 
1.15.5	ΔΖ. Τέμνοντες οὖν τὴν ὑπὸ τῶν ΔΗΓ γωνίαν δίχα καὶ τὴν 
1.15.6	ἡμίσειαν αὐτῆς δίχα καὶ αἰεὶ τοῦτο ποιοῦντες λείψομέν 
1.15.7	τινα γωνίαν ἐλάσσονα ἢ διπλασίαν τῆς ὑπὸ ΛΚΜ. 
1.15.8	Λελείφθω καὶ ἔστω ἡ ὑπὸ ΝΗΓ, καὶ ἐπεζεύχθω ἡ ΝΓ· ἡ 
1.15.9	ἄρα ΝΓ πολυγώνου ἐστὶ πλευρὰ ἰσοπλεύρου [ἐπείπερ ἡ 
1.15.10	ὑπὸ ΝΗΓ γωνία μετρεῖ τὴν ὑπὸ ΔΗΓ ὀρθὴν οὖσαν, καὶ 
1.15.11	ἡ ΝΓ ἄρα περιφέρεια μετρεῖ τὴν ΓΔ τέταρτον οὖσαν 
1.15.12	κύκλου· ὥστε καὶ τὸν κύκλον μετρεῖ. Πολυγώνου ἄρα 
1.15.13	ἐστὶ πλευρὰ ἰσοπλεύρου· φανερὸν γάρ ἐστι τοῦτο]. Καὶ 
1.15.14	τετμήσθω ἡ ὑπὸ ΓΗΝ γωνία δίχα τῇ ΗΞ εὐθείᾳ, καὶ ἀπὸ 
1.15.15	τοῦ Ξ ἐφαπτέσθω τοῦ κύκλου ἡ ΟΞΠ, καὶ ἐκβεβλήσθωσαν 
1.15.16	αἱ ΗΝΠ, ΗΓΟ· ὥστε καὶ ἡ ΠΟ πολυγώνου ἐστὶ πλευρὰ 
1.15.17	τοῦ περιγραφομένου περὶ τὸν κύκλον καὶ ἰσοπλεύρου 
1.15.18	[φανερὸν ὅτι καὶ ὁμοίου τῷ ἐγγραφομένῳ, οὗ πλευρὰ ἡ 
1.15.19	ΝΓ]. Ἐπεὶ δὲ ἐλάσσων ἐστὶν ἢ διπλασία ἡ ὑπὸ ΝΗΓ τῆς 
1.15.20	ὑπὸ ΛΚΜ, διπλασία δὲ τῆς ὑπὸ ΤΗΓ, ἐλάσσων ἄρα ἡ 
1.15.21	ὑπὸ ΤΗΓ τῆς ὑπὸ ΛΚΜ. Καί εἰσιν ὀρθαὶ αἱ πρὸς τοῖς 
1.15.22	Λ, Τ· ἡ ἄρα ΜΚ πρὸς ΛΚ μείζονα λόγον ἔχει ἤπερ ἡ 
1.15.23	ΓΗ πρὸς ΗΤ. Ἴση δὲ ἡ ΓΗ τῇ ΗΞ· ὥστε ἡ ΗΞ πρὸς ΗΤ 
1.15.24	ἐλάσσονα λόγον ἔχει, τουτέστιν ἡ ΠΟ πρὸς ΝΓ, ἤπερ ἡ 
1.15.25	ΜΚ πρὸς ΚΛ· ἔτι δὲ ἡ ΜΚ πρὸς ΚΛ ἐλάσσονα λόγον 
1.15.26	ἔχει ἤπερ τὸ Α πρὸς τὸ Β. Καί ἐστιν ἡ μὲν ΠΟ πλευρὰ τοῦ  
1.16.1	περιγραφομένου πολυγώνου, ἡ δὲ ΓΝ τοῦ ἐγγραφομένου· 
1.16.2	ὅπερ προέκειτο εὑρεῖν. 
1.16.3	    δʹ. 
1.16.4	  Πάλιν δύο μεγεθῶν ἀνίσων ὄντων καὶ τομέως δυνατόν 
1.16.5	ἐστι περὶ τὸν τομεὰ πολύγωνον περιγράψαι καὶ ἄλλο 
1.16.6	ἐγγράψαι, ὥστε τὴν τοῦ περιγεγραμμένου πλευρὰν πρὸς 
1.16.7	τὴν τοῦ ἐγγεγραμμένου πλευρὰν ἐλάσσονα λόγον ἔχειν 
1.16.8	ἢ τὸ μεῖζον μέγεθος πρὸς τὸ ἔλασσον. 
1.16.9	  Ἔστω γὰρ πάλιν δύο μεγέθη ἄνισα τὰ Ε, Ζ, ὧν μεῖζον 
1.16.10	ἔστω τὸ Ε, κύκλος δέ τις ὁ ΑΒΓ κέντρον ἔχων τὸ Δ, καὶ 
1.16.11	πρὸς τῷ Δ τομεὺς συνεστάτω ὁ ΑΔΒ· δεῖ δὴ περιγράψαι 
1.16.12	καὶ ἐγγράψαι πολύγωνον περὶ τὸν ΑΒΔ τομέα ἴσας ἔχον 
1.16.13	τὰς πλευρὰς χωρὶς τῶν ΒΔΑ, ὅπως γένηται τὸ ἐπίταγμα.  
1.16.14	  Εὑρήσθωσαν γὰρ δύο εὐθεῖαι αἱ Η, ΘΚ ἄνισοι καὶ 
1.16.15	μείζων ἡ Η, ὥστε τὴν Η πρὸς τὴν ΘΚ ἐλάσσονα λόγον 
1.16.16	ἔχειν ἢ τὸ μεῖζον μέγεθος πρὸς τὸ ἔλασσον [δυνατὸν γὰρ 
1.16.17	τοῦτο], καὶ ἀπὸ τοῦ Θ ὁμοίως ἀχθείσης πρὸς ὀρθὰς τῇ 
1.16.18	ΚΘ προσβεβλήσθω τῇ Η ἴση ἡ ΚΛ [δυνατὸν γάρ, ἐπεὶ  
1.17.1	μείζων ἐστὶν ἡ Η τῆς ΘΚ]. Τεμνομένης δὴ τῆς ὑπὸ τῶν 
1.17.2	ΑΔΒ γωνίας δίχα καὶ τῆς ἡμισείας δίχα καὶ ἀεὶ τούτου 
1.17.3	γινομένου λειφθήσεταί τις γωνία ἐλάσσων οὖσα ἢ διπλασία 
1.17.4	τῆς ὑπὸ ΛΚΘ. Λελείφθω οὖν ἡ ὑπὸ ΑΔΜ· ἡ ΑΜ οὖν γίνεται 
1.17.5	πολυγώνου πλευρὰ ἐγγραφομένου εἰς τὸν κύκλον. Καὶ 
1.17.6	ἐὰν τέμωμεν τὴν ὑπὸ ΑΔΜ γωνίαν δίχα τῇ ΔΝ καὶ ἀπὸ 
1.17.7	τοῦ Ν ἀγάγωμεν ἐφαπτομένην τοῦ κύκλου τὴν ΝΞΟ, αὕτη 
1.17.8	πλευρὰ ἔσται τοῦ πολυγώνου τοῦ περιγραφομένου περὶ 
1.17.9	τὸν αὐτὸν κύκλον ὁμοίου τῷ εἰρημένῳ· καὶ ὁμοίως τοῖς 
1.17.10	προειρημένοις ἡ ΞΟ πρὸς τὴν ΑΜ ἐλάσσονα λόγον ἔχει 
1.17.11	ἤπερ τὸ Ε μέγεθος πρὸς τὸ Ζ. 
1.17.12	    εʹ. 
1.17.13	  Κύκλου δοθέντος καὶ δύο μεγεθῶν ἀνίσων περιγράψαι 
1.17.14	περὶ τὸν κύκλον πολύγωνον καὶ ἄλλο ἐγγράψαι ὥστε τὸ 
1.17.15	περιγραφὲν πρὸς τὸ ἐγγραφὲν ἐλάσσονα λόγον ἔχειν ἢ 
1.17.16	τὸ μεῖζον μέγεθος πρὸς τὸ ἔλασσον. 
1.17.17	  Ἐκκείσθω κύκλος ὁ Α καὶ δύο μεγέθη ἄνισα τὰ Ε, Ζ, 
1.17.18	καὶ μεῖζον τὸ Ε· δεῖ οὖν πολύγωνον ἐγγράψαι εἰς τὸν 
1.17.19	κύκλον καὶ ἄλλο περιγράψαι, ἵνα γένηται τὸ ἐπιταχθέν.   
1.18.1	  Λαμβάνω γὰρ δύο εὐθείας ἀνίσους τὰς Γ, Δ, ὧν μείζων 
1.18.2	ἔστω ἡ Γ, ὥστε τὴν Γ πρὸς τὴν Δ ἐλάσσονα λόγον ἔχειν 
1.18.3	ἢ τὴν Ε πρὸς τὴν Ζ· καὶ τῶν Γ, Δ μέσης ἀνάλογον 
1.18.4	ληφθείσης τῆς Η μείζων ἄρα καὶ ἡ Γ τῆς Η. Περιγεγράφθω 
1.18.5	δὴ περὶ κύκλον πολύγωνον καὶ ἄλλο ἐγγεγράφθω, ὥστε 
1.18.6	τὴν τοῦ περιγραφέντος πολυγώνου πλευρὰν πρὸς τὴν 
1.18.7	τοῦ ἐγγραφέντος ἐλάσσονα λόγον ἔχειν ἢ τὴν Γ πρὸς 
1.18.8	τὴν Η [καθὼς ἐμάθομεν]· διὰ τοῦτο δὴ καὶ ὁ διπλάσιος 
1.18.9	λόγος τοῦ διπλασίου ἐλάσσων ἐστί. Καὶ τοῦ μὲν τῆς 
1.18.10	πλευρᾶς πρὸς τὴν πλευρὰν διπλάσιός ἐστι ὁ τοῦ πολυ-
1.18.11	γώνου πρὸς τὸ πολύγωνον [ὅμοια γάρ], τῆς δὲ Γ πρὸς 
1.18.12	τὴν Η ὁ τῆς Γ πρὸς τὴν Δ· καὶ τὸ περιγραφὲν ἄρα 
1.18.13	πολύγωνον πρὸς τὸ ἐγγραφὲν ἐλάσσονα λόγον ἔχει ἤπερ 
1.18.15	ἡ Γ πρὸς τὴν Δ· πολλῷ ἄρα τὸ περιγραφὲν πρὸς τὸ 
1.18.16	ἐγγραφὲν ἐλάσσονα λόγον ἔχει ἤπερ τὸ Ε πρὸς τὸ Ζ. 
1.18.17	    Ϛʹ. 
1.18.18	  Ὁμοίως δὴ δείξομεν ὅτι δύο μεγεθῶν ἀνίσων δοθέντων 
1.18.19	καὶ τομέως δυνατόν ἐστιν περὶ τὸν τομέα πολύγωνον 
1.18.20	περιγράψαι καὶ ἄλλο ἐγγράψαι ὅμοιον αὐτῷ, ἵνα τὸ 
1.18.20	περιγραφὲν πρὸς τὸ ἐγγραφὲν ἐλάσσονα λόγον ἔχῃ ἢ τὸ 
1.18.21	μεῖζον μέγεθος πρὸς τὸ ἔλασσον. 
1.18.22	  Φανερὸν δὲ καὶ τοῦτο ὅτι, ἐὰν δοθῇ κύκλος ἢ τομεὺς 
1.18.23	καὶ χωρίον τι, δυνατόν ἐστιν ἐγγράφοντα εἰς τὸν κύκλον  
1.19.1	ἢ τὸν τομέα πολύγωνα ἰσόπλευρα καὶ ἔτι ἀεὶ εἰς τὰ 
1.19.2	περιλειπόμενα τμήματα λείπειν τινὰ τμήματα τοῦ κύκλου 
1.19.3	ἢ τομέως, ἅπερ ἔσται ἐλάσσονα τοῦ προκειμένου χωρίου· 
1.19.4	ταῦτα γὰρ ἐν τῇ Στοιχειώσει παραδέδοται. 
1.19.5	  Δεικτέον δὲ ὅτι καὶ κύκλου δοθέντος ἢ τομέως καὶ 
1.19.6	χωρίου δυνατόν ἐστι περιγράψαι πολύγωνον περὶ τὸν 
1.19.7	κύκλον ἢ τὸν τομέα, ὥστε τὰ περιλειπόμενα τῆς περι-
1.19.8	γραφῆς τμήματα ἐλάσσονα εἶναι τοῦ δοθέντος χωρίου· 
1.19.9	ἔσται γὰρ ἐπὶ κύκλου δείξαντα μεταγαγεῖν τὸν ὅμοιον 
1.19.10	λόγον καὶ ἐπὶ τοῦ τομέως.  
1.19.11	  Δεδόσθω κύκλος ὁ Α καὶ χωρίον τι τὸ Β. Δυνατὸν δὴ 
